,brand,category_code,product_code,price,event_type,shopping_time,coupon
11640009,apple,electronics,tablet,666.68,view,3,Yes
9075334,brw,furniture,bed,107.08,view,6,Yes
19509718,samsung,electronics,smartphone,287.76,view,9,No
38603619,xiaomi,electronics,smartphone,267.45,view,18,Yes
5745467,casio,electronics,clocks,35.01,view,13,Yes
26518690,samsung,electronics,smartphone,195.55,view,5,Yes
11272438,acer,computers,desktop,617.0,view,16,Yes
35722974,pulser,computers,desktop,185.31,view,15,No
2235706,apple,electronics,smartphone,359.03,view,17,Yes
38268512,lenovo,computers,notebook,265.1,view,14,Yes
32374355,samsung,electronics,smartphone,771.94,view,7,No
14239079,indesit,appliances,washer,167.29,view,19,Yes
474103,acer,computers,notebook,772.19,view,9,No
33620175,neoline,auto,radar,140.6,view,6,No
28080929,texet,electronics,telephone,27.0,view,6,No
396487,oppo,electronics,smartphone,386.06,view,8,Yes
5108342,apple,electronics,headphone,161.88,view,4,Yes
11203716,jbl,electronics,headphone,40.93,view,15,Yes
20562309,joie,furniture,chair,158.31,view,3,Yes
17028754,xiaomi,electronics,smartphone,375.69,view,15,No
3929825,samsung,electronics,smartphone,1026.32,view,7,Yes
37111831,peg-perego,furniture,chair,151.87,view,15,No
14290572,samsung,electronics,smartphone,250.88,view,20,Yes
14774121,acer,computers,notebook,513.81,view,7,No
30549074,xiaomi,appliances,vacuum,221.1,view,19,Yes
11856675,makita,construction,drill,102.92,view,7,No
33010971,samsung,electronics,smartphone,370.41,view,16,Yes
20381411,samsung,electronics,smartphone,172.17,view,19,Yes
20318448,samsung,electronics,clocks,259.98,view,18,No
42226225,midea,appliances,refrigerators,1003.86,view,17,No
37817099,apple,electronics,headphone,159.8,view,7,No
25181389,oppo,electronics,smartphone,386.08,view,6,Yes
18588817,samsung,electronics,smartphone,729.75,view,16,No
